ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0031_1320-122612-0008,Spk2,1.501,3.107,1.627,0.519,0.904,0.638,-3.892,13.725,7.438,-3.587,15.277,9.003,2.532,3.327,3.007,0.984,0.912,1.012,28.865
1089-134686-0031_61-70968-0026,Spk1,1.433,3.01,1.306,0.363,0.852,0.637,-1.258,14.566,8.285,-0.965,14.98,8.792,2.725,3.153,2.968,0.982,0.917,-3.75,44.103
1089-134686-0031_61-70968-0026,Spk2,1.948,3.251,1.854,0.615,0.921,0.731,1.023,14.849,8.593,1.241,16.281,10.069,2.725,3.181,2.376,0.986,0.914,-3.75,24.103
1089-134686-0032_4507-16021-0049,Spk1,1.635,3.253,2.309,0.565,0.891,0.708,-3.459,17.052,10.792,-3.111,17.393,11.193,3.138,3.084,2.491,0.986,0.922,-3.75,24.103
1089-134686-0032_4507-16021-0049,Spk2,1.636,2.87,1.836,0.59,0.831,0.6,3.474,11.348,5.105,3.684,16.541,10.221,3.138,2.824,2.058,0.967,0.861,4.583,32.436
1089-134686-0032_6829-68771-0030,Spk1,1.787,3.065,2.073,0.616,0.869,0.677,3.584,15.039,8.757,3.792,15.374,9.143,2.805,3.01,2.132,0.985,0.923,-3.75,24.103
1089-134686-0032_6829-68771-0030,Spk2,1.414,2.983,1.649,0.486,0.927,0.714,-4.034,11.533,5.243,-3.668,11.671,5.467,2.805,3.133,2.239,0.981,0.905,-3.75,32.436
1089-134686-0033_1320-122612-0001,Spk1,1.678,3.076,1.77,0.345,0.827,0.574,-4.036,14.064,7.702,-3.489,14.853,8.54,3.488,3.221,2.928,0.971,0.896,29.583,24.103
1089-134686-0033_1320-122612-0001,Spk2,1.744,2.961,1.725,0.651,0.9,0.686,4.234,14.571,8.249,4.419,16.967,10.605,3.488,3.319,2.532,0.993,0.923,-3.75,24.103
1089-134686-0034_5639-40744-0005,Spk1,1.676,3.016,1.906,0.419,0.882,0.658,-5.736,14.322,8.081,-5.446,14.392,8.24,3.664,3.194,2.831,0.984,0.913,-3.75,31.795
1089-134686-0034_5639-40744-0005,Spk2,1.769,3.108,2.15,0.671,0.905,0.703,5.355,9.928,3.75,5.58,10.625,4.543,3.664,3.15,2.705,0.984,0.913,2.5,49.103
1089-134686-0034_8455-210777-0067,Spk1,2.019,3.366,1.857,0.636,0.876,0.667,-1.566,15.209,8.572,-1.392,15.386,8.797,3.411,3.429,2.465,0.982,0.921,7.361,46.325
1089-134686-0034_8455-210777-0067,Spk2,1.791,2.781,1.55,0.576,0.906,0.655,1.365,11.195,4.897,1.687,15.878,9.376,3.411,3.02,2.609,0.997,0.915,-3.75,24.103
1089-134686-0034_8463-294828-0036,Spk1,1.501,3.065,2.042,0.431,0.881,0.687,-3.923,14.462,8.216,-3.609,14.636,8.467,2.462,3.404,2.959,0.987,0.923,-3.75,24.103
1089-134686-0034_8463-294828-0036,Spk2,1.979,3.479,2.372,0.645,0.897,0.69,3.396,12.002,5.782,3.626,14.194,8.004,2.462,3.181,2.229,0.996,0.938,-3.75,24.103
1089-134686-0035_2300-131720-0025,Spk1,1.885,3.332,1.98,0.496,0.906,0.72,2.26,13.515,7.291,2.743,14.388,8.207,2.885,3.257,2.597,0.96,0.904,-3.75,35.214
1089-134686-0035_2300-131720-0025,Spk2,1.705,3.639,2.938,0.551,0.935,0.763,-2.529,11.237,5.044,-2.008,14.607,8.441,2.885,3.161,2.849,0.993,0.926,-3.75,24.103
1089-134686-0035_5683-32866-0010,Spk1,1.316,3.471,2.015,0.371,0.93,0.723,-7.734,15.453,9.119,-6.689,16.555,10.231,3.13,3.21,2.731,0.969,0.887,-3.75,35.214
1089-134686-0035_5683-32866-0010,Spk2,1.848,2.99,2.108,0.722,0.908,0.727,6.862,6.38,0.201,7.125,8.752,2.636,3.13,3.419,2.764,0.984,0.92,8.75,24.103
1089-134686-0036_6930-75918-0008,Spk1,1.615,3.204,1.36,0.369,0.812,0.567,1.098,16.072,9.692,1.399,17.085,10.703,3.049,3.157,2.838,0.979,0.901,12.917,24.103
1089-134686-0036_6930-75918-0008,Spk2,1.798,3.223,2.231,0.534,0.899,0.708,-1.257,9.587,2.888,-1.065,13.087,6.212,3.049,3.25,2.423,0.986,0.91,-3.75,24.103
1089-134686-0037_2094-142345-0001,Spk1,1.958,3.225,1.697,0.632,0.862,0.627,1.49,13.949,7.7,1.758,14.288,8.095,2.426,3.405,2.623,0.965,0.913,-3.75,31.795
1089-134686-0037_2094-142345-0001,Spk2,1.385,2.149,1.279,0.401,0.793,0.601,-1.783,2.0,-4.226,-1.502,8.234,2.106,2.426,3.259,2.915,0.989,0.923,-3.75,24.103
1089-134686-0037_4446-2271-0000,Spk1,2.183,3.329,2.108,0.563,0.866,0.638,3.603,15.268,8.968,3.959,15.718,9.458,2.663,3.227,2.231,0.974,0.895,-3.75,24.103
1089-134686-0037_4446-2271-0000,Spk2,1.365,2.358,1.609,0.454,0.815,0.652,-3.927,9.077,2.933,-3.236,15.081,8.991,2.663,3.496,3.046,0.958,0.912,18.472,24.103
1089-134691-0001_1320-122617-0013,Spk1,1.653,3.257,2.183,0.323,0.803,0.575,-3.813,14.298,7.988,-3.46,14.421,8.193,3.348,3.418,2.596,0.984,0.905,-3.75,24.103
1089-134691-0001_1320-122617-0013,Spk2,1.801,3.596,2.352,0.692,0.923,0.715,3.74,13.265,7.034,4.039,17.246,10.953,3.348,3.644,2.787,0.996,0.927,-3.75,24.103
1089-134691-0002_4507-16021-0036,Spk1,2.303,3.018,2.054,0.595,0.885,0.695,2.408,10.129,3.971,2.573,10.65,4.569,2.961,3.116,2.402,0.992,0.931,-3.75,24.103
1089-134691-0002_4507-16021-0036,Spk2,1.577,2.706,1.556,0.487,0.788,0.616,-2.744,10.015,3.841,-2.371,13.777,7.628,2.961,3.006,2.317,0.943,0.858,7.361,90.77
