N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
62,1.668,3.099,1.989,0.544,0.882,0.685,-0.117,13.278,7.035,0.17,14.398,8.217,2.781,3.18,2.553,0.984,0.919,0.928,32.479
63,1.665,3.098,1.988,0.543,0.882,0.685,-0.045,13.337,7.094,0.242,14.442,8.261,2.784,3.182,2.556,0.985,0.918,0.854,32.347
64,1.66,3.1,1.988,0.542,0.882,0.685,-0.122,13.328,7.085,0.17,14.425,8.245,2.786,3.182,2.551,0.985,0.919,0.782,32.218
65,1.663,3.104,1.994,0.542,0.883,0.686,-0.17,13.317,7.075,0.128,14.4,8.22,2.789,3.184,2.548,0.985,0.919,0.712,32.093
66,1.663,3.101,1.997,0.543,0.883,0.685,-0.123,13.304,7.061,0.174,14.416,8.234,2.792,3.187,2.554,0.985,0.919,0.645,32.161
67,1.663,3.109,2.005,0.544,0.884,0.686,-0.087,13.37,7.123,0.207,14.471,8.285,2.786,3.188,2.554,0.985,0.919,0.579,32.041
68,1.659,3.105,2.003,0.543,0.884,0.687,-0.121,13.371,7.125,0.172,14.456,8.271,2.78,3.191,2.558,0.985,0.919,0.649,32.058
69,1.659,3.105,2.003,0.543,0.885,0.687,-0.16,13.351,7.104,0.133,14.417,8.232,2.784,3.194,2.563,0.985,0.918,0.585,31.943
70,1.659,3.1,1.999,0.543,0.884,0.686,-0.12,13.302,7.056,0.172,14.376,8.192,2.788,3.194,2.56,0.985,0.919,0.702,32.009
71,1.655,3.098,1.998,0.541,0.884,0.686,-0.18,13.318,7.072,0.113,14.379,8.196,2.788,3.192,2.559,0.985,0.918,0.767,32.026
72,1.661,3.105,2.006,0.544,0.884,0.687,-0.122,13.29,7.046,0.169,14.348,8.166,2.787,3.186,2.554,0.985,0.919,0.705,31.916
73,1.667,3.104,2.004,0.545,0.885,0.687,-0.072,13.285,7.04,0.217,14.333,8.15,2.783,3.188,2.552,0.985,0.919,0.643,31.809
74,1.665,3.104,1.999,0.545,0.885,0.686,-0.124,13.291,7.045,0.166,14.346,8.162,2.78,3.19,2.558,0.985,0.919,0.648,31.769
75,1.662,3.103,1.99,0.542,0.884,0.685,-0.139,13.308,7.062,0.151,14.354,8.17,2.779,3.189,2.564,0.985,0.919,0.59,31.933
76,1.666,3.105,1.988,0.543,0.885,0.686,-0.124,13.328,7.082,0.165,14.379,8.195,2.779,3.189,2.561,0.985,0.918,0.533,31.83
77,1.665,3.107,1.992,0.543,0.885,0.686,-0.167,13.376,7.13,0.123,14.418,8.234,2.783,3.188,2.56,0.985,0.919,0.477,31.73
78,1.665,3.104,1.99,0.544,0.884,0.685,-0.12,13.35,7.104,0.168,14.446,8.26,2.788,3.183,2.554,0.985,0.918,0.53,31.739
79,1.666,3.103,1.991,0.545,0.884,0.685,-0.074,13.372,7.125,0.214,14.457,8.271,2.788,3.181,2.548,0.985,0.918,0.476,31.642
80,1.663,3.102,1.987,0.544,0.885,0.685,-0.123,13.349,7.102,0.166,14.423,8.236,2.788,3.18,2.544,0.985,0.918,0.423,31.652
81,1.663,3.101,1.984,0.542,0.884,0.684,-0.171,13.358,7.109,0.12,14.428,8.24,2.797,3.181,2.549,0.985,0.917,0.783,31.559
82,1.664,3.1,1.981,0.543,0.884,0.684,-0.118,13.372,7.123,0.173,14.459,8.268,2.805,3.183,2.549,0.985,0.917,0.727,31.468
83,1.665,3.099,1.98,0.542,0.884,0.684,-0.185,13.384,7.134,0.105,14.458,8.268,2.816,3.183,2.552,0.985,0.917,0.674,31.472
84,1.666,3.099,1.982,0.543,0.884,0.684,-0.119,13.343,7.094,0.17,14.412,8.224,2.826,3.182,2.554,0.985,0.917,0.695,31.682
85,1.67,3.102,1.981,0.544,0.884,0.684,-0.136,13.365,7.111,0.152,14.424,8.23,2.833,3.185,2.553,0.985,0.917,0.774,31.854
86,1.671,3.098,1.976,0.545,0.884,0.683,-0.119,13.339,7.086,0.17,14.441,8.244,2.839,3.183,2.554,0.985,0.917,0.721,31.764
87,1.669,3.098,1.977,0.543,0.884,0.683,-0.163,13.352,7.099,0.126,14.443,8.246,2.835,3.186,2.558,0.985,0.917,0.67,31.676
88,1.673,3.102,1.981,0.544,0.885,0.684,-0.122,13.337,7.084,0.166,14.44,8.244,2.831,3.186,2.555,0.985,0.918,0.619,31.59
89,1.675,3.105,1.981,0.544,0.885,0.684,-0.095,13.339,7.086,0.195,14.44,8.243,2.831,3.187,2.555,0.985,0.918,0.57,31.631
90,1.676,3.111,1.992,0.544,0.885,0.685,-0.122,13.316,7.063,0.171,14.442,8.245,2.832,3.186,2.558,0.985,0.918,0.522,31.547
91,1.672,3.115,1.992,0.542,0.886,0.685,-0.206,13.339,7.086,0.095,14.465,8.267,2.835,3.187,2.56,0.985,0.917,0.475,31.587
92,1.674,3.113,1.993,0.544,0.886,0.686,-0.129,13.263,7.011,0.172,14.403,8.206,2.838,3.189,2.563,0.985,0.917,0.565,31.506
93,1.673,3.114,1.986,0.542,0.885,0.684,-0.116,13.294,7.04,0.185,14.431,8.233,2.841,3.189,2.566,0.985,0.917,0.698,31.427
94,1.674,3.115,1.989,0.542,0.885,0.685,-0.128,13.254,6.996,0.172,14.417,8.211,2.843,3.189,2.564,0.985,0.917,0.651,31.349
95,1.677,3.116,1.986,0.543,0.885,0.684,-0.111,13.262,7.003,0.188,14.416,8.21,2.839,3.192,2.565,0.984,0.917,0.605,31.353
96,1.674,3.106,1.979,0.542,0.884,0.683,-0.129,13.144,6.886,0.171,14.351,8.147,2.834,3.192,2.568,0.984,0.917,0.559,31.278
97,1.679,3.109,1.98,0.542,0.884,0.683,-0.09,13.166,6.908,0.21,14.366,8.16,2.832,3.193,2.565,0.984,0.917,0.515,31.204
98,1.676,3.101,1.976,0.541,0.883,0.682,-0.129,13.124,6.867,0.174,14.373,8.169,2.831,3.196,2.57,0.984,0.917,0.698,31.131
99,1.676,3.103,1.978,0.539,0.883,0.681,-0.167,13.136,6.878,0.138,14.373,8.169,2.836,3.198,2.57,0.984,0.917,0.653,31.06
100,1.677,3.108,1.982,0.54,0.883,0.682,-0.127,13.138,6.88,0.177,14.402,8.197,2.841,3.203,2.572,0.984,0.917,0.609,30.991
101,1.683,3.107,1.983,0.541,0.883,0.682,-0.102,13.108,6.851,0.201,14.365,8.161,2.842,3.202,2.57,0.984,0.917,0.566,30.923
102,1.682,3.103,1.978,0.54,0.882,0.681,-0.128,13.077,6.822,0.175,14.359,8.155,2.843,3.2,2.568,0.984,0.916,0.632,31.509
103,1.687,3.104,1.981,0.54,0.882,0.681,-0.094,13.065,6.81,0.21,14.34,8.137,2.845,3.201,2.57,0.984,0.916,0.59,31.437
104,1.685,3.102,1.981,0.54,0.882,0.682,-0.127,13.05,6.796,0.18,14.337,8.135,2.847,3.202,2.575,0.984,0.917,0.668,31.427
105,1.684,3.103,1.979,0.54,0.881,0.68,-0.16,13.048,6.793,0.146,14.324,8.122,2.85,3.205,2.578,0.984,0.916,0.626,31.504
106,1.687,3.101,1.974,0.54,0.881,0.679,-0.127,13.01,6.757,0.178,14.324,8.123,2.852,3.208,2.578,0.984,0.916,0.585,31.591
107,1.687,3.1,1.973,0.54,0.881,0.679,-0.09,13.009,6.756,0.214,14.314,8.113,2.849,3.206,2.579,0.984,0.916,0.545,31.521
108,1.685,3.098,1.972,0.539,0.88,0.678,-0.125,13.007,6.754,0.179,14.304,8.104,2.846,3.204,2.577,0.984,0.916,0.505,31.453
109,1.684,3.098,1.971,0.539,0.88,0.678,-0.114,13.01,6.757,0.189,14.299,8.099,2.843,3.204,2.577,0.984,0.916,0.466,31.385
110,1.682,3.1,1.973,0.538,0.88,0.679,-0.125,13.013,6.76,0.178,14.294,8.094,2.84,3.197,2.572,0.984,0.917,0.427,31.319
111,1.683,3.103,1.976,0.538,0.881,0.679,-0.141,13.009,6.756,0.16,14.282,8.083,2.842,3.199,2.572,0.984,0.917,0.39,31.254
112,1.682,3.102,1.979,0.537,0.881,0.68,-0.124,13.003,6.751,0.176,14.277,8.078,2.845,3.2,2.574,0.984,0.917,0.353,31.235
113,1.681,3.105,1.979,0.537,0.881,0.68,-0.15,13.016,6.764,0.151,14.285,8.086,2.846,3.201,2.576,0.984,0.917,0.316,31.27
114,1.679,3.104,1.982,0.537,0.881,0.68,-0.124,13.001,6.75,0.177,14.301,8.102,2.847,3.201,2.576,0.984,0.917,0.281,31.207
115,1.678,3.104,1.98,0.536,0.881,0.68,-0.155,13.014,6.761,0.145,14.306,8.106,2.848,3.203,2.58,0.984,0.917,0.246,31.145
116,1.678,3.105,1.982,0.536,0.881,0.68,-0.122,13.02,6.768,0.177,14.307,8.108,2.849,3.2,2.577,0.984,0.917,0.211,31.085
117,1.678,3.097,1.975,0.536,0.88,0.679,-0.129,13.0,6.749,0.17,14.275,8.076,2.853,3.202,2.58,0.984,0.917,0.333,31.18
118,1.676,3.097,1.973,0.536,0.88,0.678,-0.121,12.993,6.742,0.178,14.283,8.085,2.857,3.203,2.585,0.984,0.917,0.375,31.274
119,1.674,3.099,1.97,0.536,0.88,0.678,-0.12,13.013,6.76,0.179,14.296,8.096,2.862,3.206,2.591,0.984,0.917,0.341,31.291
120,1.675,3.1,1.974,0.536,0.88,0.678,-0.119,13.007,6.754,0.18,14.284,8.084,2.867,3.206,2.59,0.984,0.917,0.307,31.231
121,1.676,3.101,1.976,0.535,0.878,0.676,-0.119,13.009,6.757,0.181,14.287,8.088,2.87,3.205,2.589,0.984,0.916,0.273,31.337
122,1.676,3.101,1.978,0.536,0.878,0.676,-0.117,13.023,6.771,0.182,14.308,8.11,2.872,3.204,2.588,0.984,0.916,0.422,31.369
123,1.677,3.101,1.98,0.535,0.876,0.673,-0.084,13.031,6.78,0.215,14.315,8.118,2.871,3.203,2.582,0.983,0.916,0.388,31.31
124,1.677,3.099,1.976,0.536,0.876,0.673,-0.117,13.024,6.773,0.181,14.322,8.122,2.871,3.202,2.576,0.983,0.916,0.355,31.252
125,1.679,3.103,1.981,0.535,0.873,0.67,-0.074,13.059,6.807,0.223,14.358,8.16,2.876,3.201,2.578,0.983,0.916,0.322,31.354
126,1.679,3.103,1.978,0.535,0.872,0.669,-0.118,13.042,6.787,0.179,14.361,8.157,2.881,3.204,2.579,0.983,0.916,0.607,31.614
127,1.677,3.105,1.981,0.533,0.872,0.669,-0.167,13.051,6.796,0.129,14.36,8.157,2.88,3.206,2.581,0.983,0.916,0.573,31.555
128,1.68,3.103,1.977,0.534,0.872,0.669,-0.118,13.041,6.787,0.178,14.349,8.147,2.879,3.208,2.581,0.983,0.916,0.539,31.497
129,1.681,3.105,1.978,0.535,0.873,0.67,-0.069,13.058,6.804,0.227,14.361,8.159,2.883,3.207,2.579,0.983,0.916,0.506,31.44
130,1.678,3.102,1.976,0.534,0.873,0.67,-0.12,13.066,6.81,0.178,14.362,8.158,2.886,3.206,2.577,0.983,0.916,0.473,31.383
131,1.675,3.102,1.979,0.532,0.871,0.669,-0.184,13.084,6.829,0.118,14.383,8.18,2.888,3.206,2.581,0.983,0.916,0.441,31.328
132,1.683,3.106,1.984,0.534,0.872,0.669,-0.116,13.096,6.841,0.186,14.39,8.188,2.89,3.206,2.577,0.983,0.916,0.409,31.273
133,1.686,3.104,1.984,0.535,0.872,0.67,-0.103,13.088,6.834,0.199,14.385,8.184,2.888,3.206,2.575,0.983,0.916,0.378,31.219
134,1.686,3.104,1.981,0.535,0.872,0.67,-0.117,13.09,6.835,0.186,14.384,8.181,2.885,3.205,2.576,0.983,0.916,0.347,31.166
135,1.687,3.105,1.982,0.535,0.873,0.67,-0.072,13.081,6.826,0.233,14.386,8.183,2.888,3.206,2.577,0.983,0.916,0.317,31.114
136,1.685,3.11,1.987,0.534,0.873,0.67,-0.119,13.07,6.815,0.203,14.382,8.178,2.89,3.207,2.579,0.983,0.916,0.348,31.123
137,1.686,3.114,1.991,0.534,0.873,0.67,-0.113,13.097,6.842,0.209,14.409,8.206,2.889,3.206,2.578,0.983,0.916,0.318,31.437
138,1.687,3.115,1.995,0.536,0.873,0.671,-0.12,13.096,6.842,0.202,14.438,8.235,2.887,3.205,2.579,0.983,0.916,0.289,31.384
139,1.686,3.118,1.999,0.535,0.873,0.671,-0.137,13.113,6.86,0.186,14.458,8.256,2.889,3.203,2.577,0.983,0.916,0.26,31.331
140,1.688,3.116,1.994,0.536,0.873,0.67,-0.12,13.096,6.843,0.203,14.455,8.252,2.892,3.203,2.575,0.982,0.915,0.231,31.494
141,1.687,3.116,1.993,0.535,0.874,0.671,-0.159,13.109,6.856,0.163,14.461,8.26,2.894,3.204,2.577,0.982,0.915,0.203,31.442
142,1.688,3.115,1.994,0.535,0.873,0.671,-0.118,13.116,6.864,0.203,14.462,8.261,2.897,3.205,2.576,0.983,0.915,0.175,31.39
143,1.69,3.117,1.997,0.536,0.874,0.671,-0.067,13.117,6.865,0.253,14.456,8.255,2.893,3.206,2.575,0.983,0.916,0.147,31.339
144,1.687,3.117,1.994,0.535,0.873,0.671,-0.118,13.113,6.856,0.203,14.445,8.24,2.89,3.206,2.579,0.983,0.916,0.12,31.289
145,1.689,3.119,1.995,0.536,0.874,0.671,-0.137,13.12,6.863,0.185,14.444,8.239,2.89,3.205,2.577,0.983,0.916,0.094,31.271
146,1.687,3.115,1.993,0.535,0.873,0.67,-0.119,13.114,6.857,0.203,14.453,8.248,2.891,3.205,2.577,0.983,0.916,0.067,31.222
147,1.688,3.117,1.989,0.536,0.873,0.67,-0.115,13.139,6.879,0.205,14.469,8.262,2.894,3.206,2.58,0.983,0.916,0.041,31.27
148,1.686,3.116,1.988,0.536,0.873,0.67,-0.118,13.17,6.91,0.203,14.494,8.286,2.896,3.206,2.582,0.983,0.915,0.209,31.415
149,1.686,3.113,1.986,0.536,0.873,0.67,-0.072,13.163,6.904,0.248,14.48,8.273,2.896,3.206,2.583,0.983,0.916,0.23,31.414
150,1.684,3.111,1.981,0.534,0.872,0.669,-0.118,13.131,6.872,0.202,14.443,8.236,2.896,3.207,2.585,0.983,0.915,0.204,31.416
151,1.684,3.112,1.983,0.533,0.871,0.668,-0.137,13.133,6.875,0.184,14.45,8.244,2.898,3.209,2.588,0.983,0.915,0.178,31.368
152,1.684,3.114,1.984,0.534,0.871,0.668,-0.117,13.139,6.881,0.202,14.466,8.261,2.9,3.209,2.589,0.983,0.916,0.152,31.32
153,1.685,3.114,1.982,0.534,0.87,0.667,-0.101,13.136,6.879,0.218,14.471,8.265,2.9,3.209,2.587,0.983,0.916,0.126,31.273
154,1.685,3.116,1.982,0.534,0.87,0.667,-0.119,13.126,6.869,0.201,14.465,8.26,2.9,3.209,2.587,0.983,0.916,0.231,31.421
155,1.687,3.114,1.979,0.534,0.869,0.666,-0.126,13.126,6.868,0.193,14.469,8.264,2.902,3.211,2.588,0.983,0.916,0.205,31.374
156,1.687,3.113,1.979,0.534,0.87,0.666,-0.119,13.134,6.876,0.199,14.473,8.268,2.903,3.211,2.589,0.983,0.916,0.18,31.327
157,1.686,3.104,1.973,0.534,0.868,0.665,-0.105,13.09,6.833,0.213,14.432,8.227,2.905,3.211,2.59,0.983,0.916,0.155,31.281
158,1.685,3.098,1.968,0.534,0.867,0.664,-0.119,13.034,6.776,0.199,14.379,8.175,2.906,3.21,2.591,0.983,0.916,0.13,31.377
159,1.683,3.098,1.968,0.533,0.867,0.663,-0.117,13.031,6.774,0.201,14.387,8.182,2.905,3.21,2.591,0.983,0.916,0.139,31.43
160,1.682,3.101,1.97,0.533,0.867,0.664,-0.12,13.032,6.775,0.198,14.38,8.176,2.904,3.207,2.587,0.983,0.916,0.114,31.458
161,1.685,3.104,1.971,0.533,0.867,0.663,-0.09,13.03,6.773,0.227,14.391,8.187,2.904,3.208,2.586,0.983,0.916,0.207,31.529
162,1.682,3.1,1.97,0.533,0.867,0.663,-0.122,13.005,6.749,0.196,14.39,8.186,2.905,3.208,2.586,0.983,0.916,0.183,31.483
163,1.681,3.097,1.966,0.531,0.865,0.662,-0.166,12.988,6.732,0.154,14.372,8.169,2.902,3.209,2.589,0.983,0.915,0.255,31.599
164,1.685,3.099,1.967,0.532,0.866,0.663,-0.123,13.009,6.753,0.196,14.386,8.183,2.9,3.205,2.583,0.983,0.915,0.231,31.553
165,1.684,3.095,1.964,0.531,0.865,0.661,-0.152,13.011,6.756,0.166,14.389,8.187,2.9,3.206,2.586,0.983,0.915,0.207,31.508
166,1.686,3.099,1.966,0.532,0.865,0.661,-0.124,13.011,6.755,0.194,14.389,8.186,2.901,3.205,2.587,0.983,0.916,0.183,31.463
167,1.685,3.095,1.964,0.531,0.863,0.66,-0.136,13.01,6.755,0.183,14.394,8.193,2.9,3.205,2.589,0.983,0.915,0.159,31.505
168,1.688,3.097,1.963,0.532,0.864,0.66,-0.124,13.017,6.761,0.195,14.402,8.198,2.898,3.206,2.59,0.983,0.916,0.136,31.461
169,1.69,3.099,1.966,0.532,0.864,0.66,-0.104,13.02,6.764,0.216,14.418,8.215,2.903,3.207,2.593,0.983,0.916,0.113,31.417
