N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
139,1.544,2.71,2.426,0.416,0.787,0.757,-1.51,10.545,10.475,-1.291,12.35,12.269,2.111,3.107,3.318,0.964,0.961,9.17,11.629
140,1.546,2.71,2.424,0.417,0.787,0.757,-1.49,10.539,10.468,-1.272,12.356,12.274,2.113,3.105,3.317,0.964,0.961,9.104,11.903
141,1.545,2.71,2.423,0.416,0.787,0.757,-1.531,10.548,10.478,-1.313,12.359,12.277,2.111,3.105,3.32,0.964,0.961,9.087,11.913
142,1.546,2.71,2.424,0.416,0.787,0.757,-1.51,10.552,10.482,-1.292,12.358,12.277,2.109,3.105,3.317,0.964,0.961,9.057,11.863
143,1.548,2.713,2.427,0.417,0.787,0.757,-1.47,10.558,10.488,-1.253,12.359,12.277,2.109,3.105,3.317,0.964,0.961,8.993,11.78
144,1.546,2.713,2.424,0.417,0.787,0.757,-1.516,10.553,10.48,-1.298,12.348,12.264,2.11,3.106,3.318,0.964,0.961,8.931,11.722
145,1.548,2.715,2.425,0.417,0.788,0.758,-1.529,10.563,10.49,-1.311,12.35,12.266,2.112,3.102,3.317,0.965,0.961,8.9,11.641
146,1.547,2.714,2.425,0.416,0.787,0.757,-1.511,10.561,10.488,-1.293,12.363,12.279,2.113,3.102,3.316,0.965,0.961,8.84,11.561
147,1.545,2.71,2.421,0.416,0.787,0.757,-1.518,10.565,10.492,-1.301,12.361,12.277,2.112,3.104,3.319,0.965,0.961,8.828,11.58
148,1.543,2.709,2.42,0.415,0.786,0.756,-1.531,10.587,10.515,-1.314,12.382,12.299,2.11,3.103,3.319,0.964,0.961,8.961,11.791
149,1.543,2.707,2.42,0.416,0.786,0.756,-1.491,10.585,10.513,-1.275,12.374,12.291,2.112,3.105,3.319,0.965,0.961,8.949,11.712
150,1.542,2.704,2.415,0.414,0.785,0.755,-1.532,10.544,10.47,-1.315,12.331,12.248,2.113,3.103,3.322,0.965,0.961,8.941,11.942
151,1.542,2.706,2.417,0.414,0.784,0.754,-1.547,10.544,10.471,-1.33,12.335,12.252,2.114,3.105,3.323,0.965,0.961,8.882,11.862
152,1.541,2.708,2.418,0.414,0.784,0.754,-1.528,10.554,10.481,-1.312,12.354,12.271,2.114,3.105,3.323,0.965,0.961,8.823,11.901
153,1.542,2.707,2.417,0.414,0.783,0.753,-1.519,10.552,10.48,-1.303,12.36,12.277,2.115,3.105,3.322,0.965,0.961,8.765,11.823
154,1.541,2.709,2.416,0.414,0.783,0.753,-1.537,10.544,10.472,-1.32,12.356,12.274,2.116,3.106,3.322,0.965,0.961,8.968,12.071
155,1.543,2.709,2.415,0.414,0.782,0.752,-1.542,10.545,10.473,-1.327,12.363,12.28,2.119,3.107,3.324,0.965,0.961,8.91,11.993
156,1.543,2.71,2.416,0.414,0.783,0.753,-1.535,10.554,10.482,-1.32,12.371,12.288,2.123,3.108,3.325,0.965,0.962,8.853,11.916
157,1.543,2.702,2.411,0.414,0.781,0.751,-1.525,10.519,10.447,-1.311,12.34,12.257,2.12,3.109,3.327,0.965,0.962,8.842,11.931
158,1.541,2.7,2.408,0.414,0.78,0.75,-1.538,10.48,10.408,-1.324,12.305,12.222,2.117,3.106,3.326,0.965,0.961,8.786,11.996
159,1.541,2.7,2.408,0.413,0.78,0.75,-1.529,10.481,10.409,-1.315,12.312,12.23,2.116,3.107,3.326,0.965,0.961,8.764,12.02
160,1.54,2.703,2.411,0.414,0.78,0.751,-1.526,10.487,10.415,-1.313,12.311,12.229,2.115,3.103,3.321,0.965,0.962,8.71,12.018
161,1.542,2.705,2.413,0.413,0.78,0.75,-1.512,10.484,10.412,-1.3,12.315,12.233,2.114,3.104,3.32,0.965,0.962,8.772,12.06
162,1.54,2.701,2.411,0.413,0.779,0.75,-1.546,10.459,10.387,-1.333,12.298,12.216,2.113,3.102,3.32,0.965,0.961,9.115,12.03
163,1.54,2.698,2.407,0.411,0.777,0.747,-1.589,10.437,10.365,-1.374,12.277,12.194,2.11,3.102,3.32,0.965,0.961,9.414,12.279
164,1.541,2.7,2.409,0.412,0.778,0.748,-1.56,10.451,10.38,-1.346,12.285,12.203,2.107,3.099,3.315,0.964,0.961,9.356,12.204
165,1.541,2.697,2.407,0.411,0.777,0.747,-1.584,10.449,10.378,-1.37,12.283,12.202,2.107,3.1,3.315,0.964,0.961,9.381,12.211
166,1.542,2.702,2.411,0.411,0.777,0.748,-1.556,10.454,10.383,-1.342,12.287,12.206,2.106,3.1,3.314,0.964,0.961,9.324,12.137
167,1.541,2.698,2.41,0.411,0.776,0.746,-1.564,10.451,10.38,-1.349,12.287,12.206,2.11,3.1,3.315,0.964,0.961,9.268,12.065
168,1.543,2.701,2.41,0.412,0.776,0.746,-1.551,10.461,10.389,-1.337,12.297,12.215,2.113,3.102,3.315,0.964,0.961,9.267,12.047
169,1.543,2.702,2.412,0.411,0.776,0.746,-1.541,10.46,10.389,-1.327,12.302,12.221,2.11,3.102,3.315,0.964,0.961,9.331,12.094
170,1.541,2.698,2.409,0.411,0.776,0.747,-1.565,10.461,10.39,-1.348,12.299,12.218,2.107,3.102,3.316,0.964,0.961,9.276,12.023
171,1.541,2.698,2.409,0.41,0.776,0.746,-1.555,10.466,10.395,-1.339,12.305,12.225,2.109,3.103,3.315,0.964,0.961,9.251,12.04
172,1.542,2.699,2.41,0.411,0.776,0.746,-1.554,10.454,10.384,-1.338,12.292,12.212,2.111,3.101,3.315,0.964,0.961,9.197,11.999
173,1.541,2.695,2.407,0.41,0.774,0.745,-1.573,10.429,10.359,-1.357,12.262,12.183,2.109,3.101,3.316,0.964,0.961,9.216,12.147
174,1.54,2.694,2.403,0.41,0.775,0.745,-1.554,10.426,10.356,-1.338,12.259,12.179,2.107,3.101,3.317,0.964,0.961,9.163,12.077
175,1.542,2.693,2.404,0.41,0.774,0.745,-1.541,10.429,10.359,-1.325,12.267,12.188,2.109,3.103,3.319,0.964,0.961,9.111,12.008
176,1.54,2.691,2.404,0.409,0.774,0.745,-1.556,10.413,10.344,-1.337,12.263,12.185,2.111,3.104,3.319,0.964,0.961,9.116,12.11
177,1.541,2.691,2.405,0.409,0.774,0.745,-1.548,10.417,10.348,-1.33,12.272,12.194,2.113,3.108,3.322,0.964,0.961,9.102,12.079
178,1.541,2.688,2.404,0.409,0.774,0.745,-1.565,10.401,10.332,-1.348,12.26,12.182,2.115,3.108,3.325,0.964,0.961,9.104,12.082
179,1.541,2.69,2.405,0.41,0.774,0.745,-1.554,10.404,10.335,-1.338,12.265,12.187,2.114,3.109,3.326,0.964,0.961,9.053,12.014
180,1.539,2.687,2.402,0.409,0.774,0.745,-1.585,10.401,10.332,-1.368,12.256,12.178,2.113,3.107,3.325,0.964,0.961,9.113,12.059
181,1.538,2.688,2.403,0.41,0.775,0.746,-1.557,10.404,10.335,-1.341,12.261,12.183,2.114,3.108,3.325,0.964,0.961,9.063,12.066
182,1.536,2.686,2.4,0.409,0.775,0.746,-1.598,10.397,10.329,-1.381,12.258,12.182,2.116,3.108,3.327,0.964,0.961,9.105,12.091
183,1.537,2.686,2.4,0.409,0.775,0.746,-1.579,10.398,10.33,-1.362,12.259,12.183,2.119,3.109,3.328,0.964,0.961,9.055,12.025
184,1.539,2.688,2.402,0.41,0.775,0.746,-1.584,10.4,10.332,-1.364,12.256,12.179,2.121,3.109,3.328,0.964,0.961,9.006,11.96
185,1.539,2.688,2.401,0.41,0.775,0.746,-1.574,10.404,10.336,-1.355,12.267,12.19,2.121,3.109,3.328,0.964,0.961,8.957,11.895
186,1.541,2.689,2.402,0.41,0.775,0.746,-1.593,10.402,10.334,-1.373,12.266,12.19,2.122,3.108,3.33,0.964,0.961,8.909,11.831
187,1.543,2.689,2.402,0.411,0.775,0.746,-1.575,10.402,10.334,-1.356,12.268,12.192,2.124,3.11,3.331,0.964,0.961,8.879,11.768
188,1.542,2.687,2.399,0.41,0.775,0.746,-1.593,10.39,10.322,-1.375,12.258,12.182,2.127,3.11,3.333,0.964,0.961,8.92,11.865
189,1.543,2.687,2.401,0.411,0.775,0.746,-1.589,10.387,10.319,-1.371,12.257,12.181,2.128,3.111,3.334,0.964,0.962,8.873,11.802
190,1.543,2.685,2.399,0.411,0.775,0.745,-1.597,10.372,10.304,-1.379,12.254,12.178,2.129,3.111,3.334,0.964,0.962,8.892,11.871
191,1.544,2.686,2.402,0.411,0.775,0.745,-1.577,10.376,10.308,-1.36,12.26,12.184,2.13,3.112,3.336,0.964,0.962,8.845,11.809
192,1.543,2.686,2.401,0.41,0.774,0.745,-1.595,10.363,10.295,-1.378,12.255,12.178,2.132,3.113,3.335,0.964,0.962,8.799,11.803
193,1.545,2.685,2.401,0.41,0.774,0.744,-1.585,10.368,10.301,-1.368,12.265,12.189,2.131,3.113,3.335,0.964,0.962,8.754,11.788
194,1.544,2.684,2.398,0.409,0.773,0.743,-1.615,10.367,10.299,-1.398,12.262,12.185,2.131,3.112,3.335,0.964,0.962,8.823,11.842
