ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0021_4992-41797-0018,Spk1,1.437,2.516,2.21,0.346,0.721,0.702,-3.552,10.997,10.904,-3.742,11.955,11.863,1.988,3.088,3.468,0.963,0.973,36.562,30.68
1089-134686-0021_4992-41797-0018,Spk2,1.253,2.634,2.479,0.384,0.804,0.792,-2.468,9.592,9.587,-2.639,11.653,11.642,1.988,2.894,3.219,0.965,0.98,36.982,15.554
1089-134686-0022_1580-141083-0044,Spk1,1.332,2.336,1.919,0.29,0.683,0.672,-2.837,10.842,10.782,-2.989,11.711,11.638,1.618,3.254,3.383,0.917,0.935,17.935,40.157
1089-134686-0022_1580-141083-0044,Spk2,1.472,2.762,2.369,0.418,0.782,0.709,-2.322,9.323,9.152,-2.424,10.977,10.807,1.618,2.869,3.556,0.961,0.969,1.268,1.268
1089-134686-0022_8455-210777-0023,Spk1,1.555,2.769,2.025,0.449,0.798,0.754,-0.32,12.669,12.268,0.129,13.61,13.181,2.092,3.15,3.527,0.959,0.976,7.518,20.018
1089-134686-0022_8455-210777-0023,Spk2,1.575,2.898,2.605,0.508,0.865,0.855,-1.602,9.859,9.848,-1.779,13.2,13.18,2.092,2.998,3.536,0.97,0.984,8.411,8.411
1089-134686-0023_6829-68771-0020,Spk1,1.514,2.254,1.733,0.399,0.771,0.728,-0.487,10.247,10.1,-0.648,11.103,10.956,1.677,3.36,3.709,0.958,0.957,8.96,16.653
1089-134686-0023_6829-68771-0020,Spk2,1.342,2.495,2.208,0.428,0.837,0.837,-3.595,6.879,6.854,-3.666,8.537,8.509,1.677,3.489,3.824,0.918,0.961,1.268,8.411
1089-134686-0024_1995-1836-0013,Spk1,1.562,2.708,2.307,0.308,0.751,0.73,-3.528,10.582,10.534,-3.572,11.406,11.351,1.866,3.47,3.46,0.967,0.975,1.268,13.768
1089-134686-0024_1995-1836-0013,Spk2,1.303,3.077,3.095,0.458,0.845,0.847,1.061,9.517,9.525,0.884,14.901,14.912,1.866,3.136,3.57,0.948,0.959,22.697,15.554
1089-134686-0024_5683-32865-0016,Spk1,1.48,2.29,2.059,0.407,0.747,0.703,1.827,10.127,10.104,1.71,11.298,11.265,1.834,3.107,2.964,0.944,0.963,1.268,1.268
1089-134686-0024_5683-32865-0016,Spk2,1.174,2.051,1.926,0.382,0.677,0.669,-5.305,5.325,5.309,-5.019,7.243,7.218,1.834,2.869,3.012,0.945,0.967,34.601,34.601
