ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1188-133604-0025_121-121726-0010,Spk1,1.564,3.177,2.814,0.573,0.805,0.77,0.829,12.103,12.018,0.878,15.105,14.968,3.72,3.187,3.437,0.98,0.986,8.696,13.043
1188-133604-0025_4992-23283-0016,Spk2,1.541,2.687,2.57,0.523,0.861,0.856,-0.549,8.563,8.566,-0.287,12.276,12.284,3.243,3.048,2.93,0.985,0.99,0.0,0.0
1188-133604-0025_6829-68769-0005,Spk2,1.493,3.068,2.768,0.49,0.91,0.823,-3.88,13.455,13.252,-3.683,14.325,14.111,3.028,2.914,3.046,0.974,0.976,5.556,5.556
1188-133604-0029_4077-13751-0006,Spk1,1.662,2.696,3.078,0.428,0.656,0.699,1.391,12.386,12.443,1.525,15.257,15.36,2.887,3.169,3.236,0.978,0.983,0.0,0.0
1188-133604-0029_4077-13751-0006,Spk2,1.637,3.192,2.399,0.538,0.804,0.747,-1.204,8.617,8.429,-1.092,10.092,9.887,2.887,2.956,3.204,0.971,0.975,11.111,22.222
1188-133604-0029_8455-210777-0003,Spk1,2.316,3.351,3.463,0.561,0.72,0.753,6.01,12.747,12.683,6.046,16.481,16.359,3.38,3.112,2.991,0.979,0.982,0.0,0.0
1188-133604-0033_7127-75947-0027,Spk2,2.017,3.298,3.047,0.567,0.928,0.879,-0.665,14.7,14.468,-0.591,15.764,15.482,2.63,2.793,3.024,0.986,0.988,22.222,27.778
1188-133604-0036_4507-16021-0015,Spk1,2.111,3.429,2.675,0.687,0.865,0.741,6.754,13.263,13.06,6.846,16.389,16.05,2.632,3.246,3.268,0.988,0.99,33.333,33.333
1188-133604-0038_5142-33396-0043,Spk2,1.679,3.254,3.269,0.583,0.938,0.908,-1.165,15.64,15.289,-1.033,16.559,16.222,3.145,2.851,2.4,0.985,0.987,0.0,10.0
1188-133604-0038_61-70970-0012,Spk1,1.19,2.896,2.79,0.291,0.754,0.789,-4.658,11.705,11.73,-4.446,14.496,14.55,3.047,3.244,3.639,0.958,0.969,9.091,9.091
