N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
439,1.654,3.064,2.69,0.541,0.857,0.815,0.0,11.937,11.77,0.182,14.308,14.091,2.933,3.106,3.345,0.978,0.973,5.412,8.337
440,1.654,3.062,2.688,0.541,0.857,0.815,0.001,11.931,11.764,0.183,14.301,14.085,2.933,3.105,3.343,0.978,0.973,5.4,8.318
441,1.654,3.063,2.69,0.542,0.857,0.815,0.007,11.932,11.766,0.189,14.307,14.091,2.932,3.106,3.344,0.978,0.973,5.388,8.299
442,1.654,3.063,2.689,0.541,0.857,0.815,0.001,11.929,11.763,0.182,14.3,14.084,2.931,3.106,3.345,0.978,0.973,5.376,8.292
443,1.655,3.061,2.689,0.542,0.857,0.815,0.019,11.927,11.761,0.201,14.298,14.082,2.932,3.106,3.345,0.978,0.973,5.364,8.273
444,1.654,3.061,2.688,0.542,0.857,0.815,0.001,11.924,11.758,0.182,14.294,14.079,2.933,3.106,3.345,0.978,0.973,5.352,8.254
445,1.655,3.061,2.689,0.542,0.857,0.816,0.007,11.925,11.759,0.189,14.299,14.083,2.933,3.106,3.346,0.978,0.973,5.34,8.236
446,1.654,3.06,2.687,0.542,0.857,0.815,0.001,11.926,11.761,0.182,14.301,14.086,2.932,3.107,3.346,0.978,0.973,5.342,8.232
447,1.654,3.06,2.688,0.542,0.857,0.816,0.012,11.924,11.759,0.193,14.3,14.085,2.932,3.106,3.345,0.978,0.973,5.331,8.214
448,1.654,3.059,2.689,0.542,0.857,0.816,0.001,11.923,11.758,0.183,14.295,14.081,2.932,3.106,3.345,0.977,0.973,5.319,8.196
449,1.654,3.06,2.69,0.542,0.858,0.816,0.01,11.927,11.763,0.192,14.305,14.09,2.932,3.107,3.346,0.977,0.973,5.307,8.187
450,1.654,3.061,2.69,0.541,0.858,0.816,0.001,11.924,11.759,0.183,14.308,14.093,2.932,3.106,3.346,0.977,0.973,5.307,8.181
451,1.653,3.061,2.691,0.541,0.858,0.816,0.001,11.927,11.762,0.182,14.313,14.098,2.934,3.107,3.347,0.978,0.973,5.296,8.163
452,1.653,3.061,2.69,0.541,0.858,0.816,0.002,11.926,11.761,0.183,14.311,14.096,2.935,3.107,3.348,0.978,0.973,5.315,8.145
