ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
121-127105-0000_2961-961-0016,Spk2,1.5,2.596,2.283,0.425,0.852,0.811,-1.257,7.554,7.463,-1.148,12.142,11.936,2.904,3.163,3.502,0.973,0.971,0.0,0.0
121-127105-0000_5142-33396-0044,Spk2,1.43,2.971,2.789,0.447,0.921,0.911,-1.098,14.019,13.971,-0.999,14.988,14.934,2.921,2.785,3.029,0.975,0.975,5.882,0.0
121-127105-0001_260-123440-0019,Spk2,1.371,2.652,2.089,0.441,0.796,0.751,-1.335,7.635,7.605,-1.207,12.532,12.459,2.454,3.009,3.096,0.98,0.979,6.25,18.75
121-127105-0005_237-134493-0003,Spk2,1.664,3.256,3.15,0.564,0.943,0.928,2.152,18.143,17.872,2.196,18.794,18.498,1.909,3.236,3.602,0.991,0.988,16.667,16.667
121-127105-0012_6829-68771-0035,Spk1,1.235,2.289,1.876,0.458,0.868,0.849,-5.181,9.509,9.221,-4.948,10.969,10.61,2.147,2.464,3.057,0.968,0.966,11.111,11.111
121-127105-0012_6829-68771-0035,Spk2,1.476,2.892,2.743,0.628,0.903,0.9,5.168,11.016,10.952,5.22,11.672,11.604,2.147,2.779,3.024,0.957,0.965,0.0,0.0
121-127105-0013_260-123288-0009,Spk1,2.104,3.514,2.85,0.765,0.889,0.847,5.955,12.464,12.045,6.163,14.373,13.84,2.631,3.149,3.199,0.985,0.977,0.0,6.667
121-127105-0019_1284-1181-0017,Spk2,1.58,3.18,3.014,0.647,0.891,0.822,5.113,12.166,12.001,5.507,14.391,14.218,3.37,3.178,3.441,0.981,0.963,8.333,16.667
121-127105-0019_7176-88083-0026,Spk2,1.587,1.956,1.977,0.573,0.869,0.84,4.718,10.54,10.5,4.771,12.344,12.298,2.404,3.046,3.507,0.972,0.956,14.286,14.286
121-127105-0020_2830-3980-0039,Spk2,1.482,3.321,2.978,0.525,0.854,0.821,2.159,11.869,11.813,2.265,16.17,16.066,3.313,3.141,3.142,0.987,0.99,0.0,0.0
121-127105-0020_5683-32866-0030,Spk2,1.573,2.921,2.61,0.685,0.868,0.851,6.314,6.988,6.959,6.392,12.12,12.079,2.218,3.061,3.171,0.962,0.967,0.0,0.0
121-127105-0023_1580-141083-0021,Spk2,1.646,3.429,2.974,0.56,0.928,0.894,2.254,12.974,12.735,2.36,14.127,13.883,2.553,3.167,3.019,0.979,0.969,0.0,8.333
121-127105-0026_4446-2275-0029,Spk1,1.432,2.84,2.731,0.525,0.895,0.88,-1.968,13.069,12.873,-1.907,14.024,13.843,2.178,3.16,3.14,0.982,0.98,0.0,5.0
121-127105-0026_5683-32879-0020,Spk1,1.63,3.369,3.106,0.639,0.926,0.9,-0.359,13.276,12.764,-0.272,15.116,14.439,2.71,3.236,3.447,0.99,0.986,20.0,15.0
121-127105-0028_4507-16021-0025,Spk2,1.467,2.87,2.355,0.506,0.82,0.777,2.492,10.033,9.962,2.548,17.664,17.359,3.188,2.978,3.585,0.953,0.922,7.143,7.143
121-127105-0029_5142-33396-0065,Spk1,1.594,3.204,2.677,0.62,0.902,0.883,0.202,12.083,11.972,0.251,14.089,13.932,2.642,3.329,3.026,0.989,0.984,0.0,0.0
