ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1188-133604-0016_7176-88083-0018,Spk1,1.715,2.673,2.65,0.433,0.755,0.721,-0.088,11.143,11.101,-0.017,13.821,13.767,2.489,3.714,3.866,0.986,0.988,6.667,6.667
1188-133604-0017_5142-33396-0001,Spk1,1.472,3.043,2.64,0.463,0.84,0.807,0.261,10.959,10.925,0.335,13.098,13.057,1.889,3.219,3.515,0.964,0.975,0.0,0.0
1188-133604-0018_1089-134686-0026,Spk1,1.706,2.667,2.415,0.539,0.799,0.757,1.838,10.646,10.627,2.082,12.482,12.46,2.561,3.251,3.489,0.976,0.988,0.0,0.0
1188-133604-0018_1089-134686-0026,Spk2,1.799,3.07,2.837,0.446,0.848,0.811,-2.365,10.715,10.643,-1.709,11.58,11.5,2.561,3.146,3.333,0.985,0.988,0.0,0.0
1188-133604-0019_8224-274384-0008,Spk1,1.782,2.786,2.433,0.5,0.797,0.752,1.779,10.259,10.172,1.817,12.691,12.566,2.568,3.327,3.609,0.979,0.981,3.226,0.0
1188-133604-0020_1320-122617-0025,Spk1,1.74,2.781,2.771,0.422,0.71,0.698,-0.777,9.832,9.8,-0.615,12.136,12.092,2.395,3.254,3.468,0.975,0.978,0.0,0.0
1188-133604-0020_3729-6852-0044,Spk1,1.719,2.749,2.819,0.426,0.741,0.728,2.127,11.084,11.042,2.197,13.503,13.435,2.34,3.323,3.701,0.978,0.972,0.0,0.0
1188-133604-0022_1221-135767-0019,Spk1,1.838,2.597,2.346,0.311,0.596,0.548,0.366,11.426,11.392,0.532,14.171,14.138,2.03,3.161,3.34,0.938,0.967,0.0,9.091
1188-133604-0022_1320-122617-0034,Spk2,1.675,2.926,2.785,0.626,0.876,0.864,2.686,9.658,9.652,2.739,13.173,13.158,2.107,3.127,3.324,0.974,0.982,0.0,0.0
1188-133604-0025_4992-23283-0016,Spk2,1.46,2.564,2.499,0.462,0.848,0.842,-1.088,8.313,8.316,-0.829,11.643,11.65,2.667,3.109,3.317,0.981,0.988,0.0,0.0
1188-133604-0029_4077-13751-0006,Spk1,1.53,2.393,2.547,0.314,0.605,0.647,-0.631,10.203,10.252,-0.477,13.501,13.601,1.869,3.244,3.273,0.972,0.97,22.222,0.0
1188-133604-0029_8455-210777-0003,Spk2,1.322,2.718,2.22,0.517,0.844,0.804,-7.297,9.868,9.782,-7.052,13.225,13.072,2.767,2.889,3.402,0.97,0.968,11.111,11.111
1188-133604-0032_8224-274384-0000,Spk2,1.631,2.693,2.736,0.585,0.89,0.858,0.718,10.513,10.475,0.79,13.86,13.816,3.034,3.154,3.543,0.992,0.979,0.0,5.882
1188-133604-0033_7127-75947-0027,Spk1,1.372,2.596,2.351,0.375,0.694,0.664,0.204,12.007,11.974,0.27,14.787,14.753,2.372,3.208,3.472,0.973,0.972,0.0,0.0
1188-133604-0038_5142-33396-0043,Spk1,1.316,2.921,2.96,0.462,0.804,0.786,-0.443,11.39,11.366,-0.328,14.412,14.376,1.976,3.13,3.336,0.971,0.974,7.692,7.692
121-121726-0002_260-123286-0011,Spk1,1.439,3.36,3.416,0.497,0.917,0.915,-2.97,12.22,12.259,-2.532,13.421,13.474,2.105,3.208,3.273,0.97,0.98,0.0,0.0
121-121726-0006_260-123286-0027,Spk2,1.564,2.667,2.515,0.501,0.797,0.719,0.701,11.63,11.502,0.813,13.825,13.621,2.611,3.207,3.42,0.922,0.963,0.0,0.0
121-121726-0009_7176-92135-0006,Spk2,1.33,2.627,2.495,0.53,0.804,0.792,0.009,12.103,12.044,0.069,13.658,13.574,2.543,3.024,3.409,0.958,0.958,7.143,0.0
121-121726-0010_2300-131720-0001,Spk1,1.352,2.544,2.362,0.416,0.795,0.777,-4.187,9.697,9.693,-4.12,10.665,10.666,2.113,2.999,3.428,0.98,0.979,10.526,10.526
121-121726-0010_260-123286-0031,Spk2,1.626,2.741,2.685,0.537,0.862,0.828,-1.033,10.326,10.302,-0.927,13.496,13.445,2.316,3.151,3.363,0.972,0.96,9.091,0.0
121-121726-0011_4507-16021-0038,Spk1,1.38,3.107,2.555,0.478,0.877,0.85,-6.707,13.601,13.511,-6.417,14.694,14.604,1.976,3.061,3.479,0.969,0.962,14.286,0.0
121-123852-0002_1188-133604-0003,Spk1,1.32,2.612,2.351,0.271,0.817,0.757,-5.958,9.999,9.634,-5.878,12.075,11.693,2.182,3.232,3.718,0.981,0.966,0.0,8.333
121-123852-0002_1188-133604-0003,Spk2,1.477,2.679,2.137,0.382,0.681,0.64,1.119,10.836,10.755,1.152,13.618,13.524,2.182,3.316,3.863,0.988,0.983,0.0,3.125
