ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
121-121726-0011_237-126133-0017,Spk2,1.928,3.21,2.757,0.69,0.932,0.878,5.136,12.606,12.341,5.295,13.573,13.328,2.161,2.353,2.216,0.961,0.969,0.0,18.182
121-121726-0011_4507-16021-0038,Spk2,2.3,2.768,2.191,0.635,0.729,0.649,6.203,9.274,9.213,6.26,15.032,14.859,3.299,3.055,3.447,0.92,0.899,0.0,0.0
121-121726-0012_2830-3980-0020,Spk1,2.037,3.158,3.566,0.742,0.932,0.921,2.98,15.955,15.799,2.977,17.829,17.616,3.434,3.008,2.931,0.944,0.971,40.0,20.0
121-121726-0012_2830-3980-0020,Spk2,1.417,2.761,2.068,0.383,0.708,0.619,-2.939,2.646,2.575,-2.705,12.657,12.352,3.434,3.073,3.944,0.974,0.955,0.0,0.0
121-121726-0014_7021-79740-0000,Spk1,1.462,2.704,2.499,0.361,0.882,0.832,-6.181,13.565,13.365,-5.823,14.633,14.42,2.14,3.471,3.313,0.979,0.977,66.667,100.0
121-121726-0014_7127-75946-0012,Spk1,1.363,2.509,2.21,0.379,0.824,0.817,-1.285,8.579,8.565,-0.977,8.896,8.884,2.815,3.247,3.558,0.959,0.945,100.0,100.0
121-123852-0004_7176-92135-0002,Spk2,1.553,3.216,2.527,0.606,0.882,0.821,4.39,14.052,13.934,4.482,16.81,16.603,2.666,2.925,2.9,0.939,0.908,0.0,12.5
121-123859-0004_2830-3980-0075,Spk2,1.579,3.136,2.585,0.478,0.73,0.644,-0.211,9.701,9.626,-0.003,15.233,15.1,3.399,3.165,4.122,0.982,0.974,6.25,25.0
121-127105-0000_5142-33396-0044,Spk1,1.672,2.758,2.346,0.61,0.888,0.865,1.065,11.293,11.234,1.292,12.97,12.895,2.921,2.995,2.676,0.985,0.991,0.0,0.0
121-127105-0002_4446-2273-0036,Spk2,1.784,3.595,2.007,0.508,0.922,0.855,-0.101,13.785,13.539,0.113,15.751,15.442,2.376,2.783,2.524,0.986,0.971,0.0,12.5
121-127105-0005_4507-16021-0046,Spk1,1.569,2.977,2.88,0.582,0.908,0.9,-2.501,12.286,12.227,-2.274,13.569,13.506,3.04,2.708,2.894,0.97,0.965,0.0,0.0
