N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
177,1.694,3.061,2.758,0.545,0.847,0.806,0.003,11.841,11.691,0.198,14.437,14.234,3.057,3.121,3.36,0.977,0.972,5.705,8.23
178,1.693,3.058,2.755,0.544,0.847,0.806,-0.009,11.83,11.68,0.186,14.436,14.233,3.056,3.122,3.362,0.977,0.972,5.767,8.278
179,1.693,3.059,2.756,0.544,0.847,0.807,-0.009,11.832,11.682,0.186,14.439,14.236,3.052,3.124,3.364,0.977,0.972,5.735,8.232
180,1.694,3.062,2.752,0.544,0.847,0.807,-0.009,11.843,11.692,0.186,14.446,14.242,3.048,3.122,3.359,0.977,0.972,5.703,8.255
181,1.693,3.062,2.751,0.544,0.847,0.807,-0.035,11.838,11.686,0.16,14.434,14.23,3.048,3.123,3.361,0.977,0.972,5.671,8.21
182,1.692,3.06,2.75,0.544,0.848,0.807,-0.009,11.818,11.667,0.185,14.431,14.227,3.048,3.125,3.362,0.977,0.972,5.64,8.165
183,1.69,3.062,2.751,0.544,0.848,0.808,-0.02,11.83,11.678,0.173,14.434,14.23,3.042,3.125,3.364,0.977,0.972,5.609,8.12
184,1.69,3.063,2.752,0.545,0.848,0.808,-0.009,11.864,11.711,0.184,14.458,14.252,3.036,3.126,3.365,0.977,0.972,5.669,8.212
185,1.689,3.062,2.753,0.545,0.849,0.809,-0.022,11.866,11.713,0.171,14.453,14.247,3.036,3.123,3.364,0.977,0.972,5.639,8.167
186,1.688,3.063,2.753,0.544,0.849,0.809,-0.008,11.854,11.702,0.184,14.458,14.253,3.036,3.122,3.36,0.977,0.972,5.706,8.172
187,1.688,3.065,2.752,0.545,0.849,0.809,-0.004,11.862,11.709,0.188,14.457,14.251,3.036,3.122,3.361,0.977,0.972,5.676,8.129
188,1.687,3.065,2.754,0.545,0.849,0.81,-0.009,11.863,11.71,0.182,14.461,14.256,3.036,3.123,3.362,0.977,0.972,5.646,8.085
189,1.687,3.064,2.75,0.545,0.849,0.81,-0.014,11.86,11.707,0.176,14.454,14.248,3.037,3.123,3.363,0.977,0.972,5.656,8.083
190,1.687,3.06,2.747,0.545,0.85,0.81,-0.008,11.845,11.692,0.183,14.435,14.23,3.038,3.124,3.365,0.977,0.972,5.627,8.041
191,1.689,3.055,2.741,0.547,0.849,0.809,0.018,11.792,11.639,0.208,14.377,14.172,3.037,3.123,3.364,0.977,0.972,5.78,8.182
192,1.686,3.049,2.735,0.545,0.848,0.809,-0.008,11.772,11.62,0.182,14.345,14.141,3.036,3.122,3.363,0.977,0.972,6.063,8.4
193,1.684,3.045,2.731,0.545,0.848,0.809,-0.028,11.746,11.593,0.162,14.311,14.106,3.035,3.121,3.361,0.977,0.972,6.086,8.492
194,1.684,3.045,2.729,0.545,0.848,0.808,-0.009,11.756,11.602,0.181,14.317,14.112,3.034,3.122,3.361,0.977,0.972,6.055,8.449
195,1.681,3.041,2.725,0.545,0.848,0.809,-0.035,11.744,11.589,0.155,14.3,14.093,3.03,3.119,3.359,0.977,0.972,6.08,8.462
196,1.68,3.04,2.724,0.545,0.849,0.809,-0.009,11.74,11.586,0.181,14.287,14.08,3.025,3.117,3.357,0.977,0.972,6.049,8.419
197,1.682,3.043,2.725,0.546,0.849,0.809,0.022,11.744,11.588,0.211,14.287,14.079,3.023,3.117,3.356,0.977,0.972,6.019,8.376
198,1.68,3.039,2.722,0.545,0.848,0.809,-0.008,11.736,11.581,0.182,14.271,14.064,3.021,3.116,3.357,0.976,0.972,6.03,8.502
199,1.679,3.04,2.72,0.545,0.849,0.809,-0.027,11.725,11.569,0.165,14.257,14.049,3.023,3.117,3.358,0.976,0.972,6.0,8.46
200,1.678,3.041,2.721,0.546,0.849,0.809,-0.001,11.727,11.571,0.192,14.257,14.05,3.025,3.117,3.357,0.976,0.972,6.012,8.501
201,1.676,3.039,2.72,0.546,0.849,0.809,-0.012,11.727,11.569,0.181,14.253,14.044,3.022,3.119,3.359,0.977,0.972,6.027,8.458
202,1.676,3.041,2.719,0.545,0.849,0.809,-0.002,11.742,11.582,0.191,14.262,14.05,3.02,3.117,3.36,0.977,0.972,5.997,8.417
203,1.675,3.043,2.718,0.545,0.849,0.81,-0.024,11.742,11.581,0.171,14.259,14.045,3.017,3.118,3.362,0.977,0.972,5.968,8.375
204,1.674,3.038,2.715,0.546,0.849,0.81,-0.0,11.737,11.575,0.194,14.25,14.036,3.014,3.118,3.362,0.977,0.972,6.009,8.369
205,1.674,3.038,2.715,0.546,0.85,0.81,-0.011,11.745,11.584,0.182,14.251,14.038,3.015,3.118,3.364,0.977,0.972,5.979,8.328
206,1.673,3.04,2.716,0.546,0.85,0.81,-0.001,11.745,11.585,0.193,14.26,14.047,3.016,3.118,3.362,0.977,0.972,5.95,8.288
